Store ID,Original Price,Special Price,Eligible For Free Shipping,Free Shipping Threshold,Free Shipping Message,Excluded States Shipping
2408,15.99,15.99,True,$45.00,Ships FREE with $45.00 Order,"AK,GU,HI,PR,VI"
2408,15.99,15.99,True,$45.00,Ships FREE with $45.00 Order,"AK,GU,HI,PR,VI"
863,15.99,15.99,True,$45.00,Ships FREE with $45.00 Order,"AK,GU,HI,PR,VI"
863,15.99,15.99,True,$45.00,Ships FREE with $45.00 Order,"AK,GU,HI,PR,VI"
808,15.99,15.99,True,$45.00,Ships FREE with $45.00 Order,"AK,GU,HI,PR,VI"
808,15.99,15.99,True,$45.00,Ships FREE with $45.00 Order,"AK,GU,HI,PR,VI"
880,15.99,15.99,True,$45.00,Ships FREE with $45.00 Order,"AK,GU,HI,PR,VI"
882,15.99,15.99,True,$45.00,Ships FREE with $45.00 Order,"AK,GU,HI,PR,VI"
8577,15.99,15.99,True,$45.00,Ships FREE with $45.00 Order,"AK,GU,HI,PR,VI"
802,15.99,15.99,True,$45.00,Ships FREE with $45.00 Order,"AK,GU,HI,PR,VI"
881,15.99,15.99,True,$45.00,Ships FREE with $45.00 Order,"AK,GU,HI,PR,VI"
875,15.99,15.99,True,$45.00,Ships FREE with $45.00 Order,"AK,GU,HI,PR,VI"
875,15.99,15.99,True,$45.00,Ships FREE with $45.00 Order,"AK,GU,HI,PR,VI"
875,15.99,15.99,True,$45.00,Ships FREE with $45.00 Order,"AK,GU,HI,PR,VI"
875,15.99,15.99,True,$45.00,Ships FREE with $45.00 Order,"AK,GU,HI,PR,VI"
